"Date","ABT","AEP","AES","AIG","ALL","AMGN","ARNC","ATI","AVP","AXP","BA","BAC","BAC2","BAX","BDK","BHI","BMY","BRK3","BUD.2","C","CAT","CBS","CI","CL","CMCSA","CPB","CSC","CSCO","CVX","CZR","DD","DIS","DOW","DVMT","EMC","EP","ETR","EXC","F","FDX","GD","GE","GM","GS","HAL","HCA","HD","HIG","HON","HPQ","HSH","IBM","IHRT","INTC","IP","JNJ","JPM","KHC","KO","KODK","LB","LEHMQ","LU","MCD","MDT","MEDI","MMM","MO","MRK","MS","MSFT","NSC","NSM.2","OMX","ORCL","PEP","PFE","PG","ROK","RSHCQ","RTN","S","SLB","SO","T","TGT","TWX","TXN","TYC","UIS","UPS","USB","UTX","VZ","WFC","WMB","WMT","WY","XOM","XRX"
"2001-07-01",1.86839654702543,0,0,1.63636105307897,1.47665443873469,0,0,1.82899382527387,0,3.73296256470066,1.72096515172728,2.74065775887583,0,1.80161650895285,0,0,1.86835175683889,0,0,4.32389028834343,2.24503652520952,0,0,2.19772100647544,1.90631052375563,1.35807259506992,0,3.8323292465906,1.5389101732529,0,0,3.58157946312222,0,0,0,0,1.40813446277056,1.61814837070103,1.8478250620403,2.88664709318119,1.74824758575747,3.55481557183923,0,5.64679114971473,1.53219072426744,0,3.43845240507449,1.55559192542709,4.68281691452942,2.79498541551505,0,3.55100126966943,0,4.17368826407844,2.36779315460582,1.67313999532147,4.17511779422645,0,1.97978456232175,0,0,0,0,1.15609288043791,2.19185220840477,0,2.98558442943864,1.72945732309146,1.8808113694475,5.30249159240419,5.0882990986119,1.61269300752922,0,0,3.13292456553454,1.52723561890348,2.00000928420596,1.56376616642335,2.53372501380681,0,0,0,0,1.31570023676166,1.56216279896278,3.29700597154187,0,1.9988577339065,0,2.15422140894642,1.92127526178913,2.19368135654823,0,2.3861535591693,2.33155270965951,1.50581573975309,2.51937404076088,2.02584492109305,1.95680202722719,1.27881009184449
"2001-08-01",1.98538983835583,0,1.61914898525089,1.68179711109269,1.9447332698591,0,0,1.93355339457882,0,3.7988693664724,1.9457468090271,3.25830449222069,0,2.02310103413052,0,0,1.91359368866111,0,0,2.83344937266642,2.08707834916769,0,0,2.55073565677325,1.74525091862744,1.50503837873876,0,2.08181615145914,1.54118704792566,0,0,2.49697840194127,0,0,0,0,1.72173770022014,1.87215170707891,1.99850686487598,2.03845532671666,1.8249941634409,2.82871300224558,0,4.19691716975835,1.48561027215395,0,2.51174038497791,1.91627021127492,3.44999879571152,3.14236577810126,0,2.91507476200961,0,4.90099889226653,2.57785610418803,1.62898481379899,3.10533402729267,0,2.19858459138096,0,0,0,0,1.18154512323602,2.15311707429086,0,3.8478775566047,1.85196283710781,1.86910970871488,4.76281368856163,5.90601827794461,1.63791797445929,0,0,1.79185294605034,1.58216848369131,1.97731737233366,1.70445396436903,3.39954040011486,0,0,0,0,1.34101775361375,1.83742232874141,3.14689127815339,0,1.93034698962379,0,2.33924247357426,1.35174654046322,1.88956458942565,0,1.93673392143849,2.49233495907852,1.79846939852356,2.19778007438742,2.49958042762555,2.1038055901361,1.50134248928889
"2001-09-01",1.97999869258956,0,1.45315499701162,1.70418056156592,1.88356790324013,0,0,1.80969801161517,0,3.45889486979108,1.96595286336406,3.03067407884837,0,1.81923333066636,0,0,1.94413794423344,0,0,2.62891319657967,2.02627838880795,0,0,2.17353119479349,1.77475805537268,1.44520590925128,0,1.95727036012747,1.57525188917523,0,0,2.3456694699043,0,0,0,0,1.69939065628134,1.70404598488634,1.88658309283872,2.05461720918723,1.7001494212495,2.84043915041963,0,3.78917923559481,1.43062284702964,0,2.64427610561521,1.89075408550591,3.28760480043493,3.1928850178836,0,3.40366880115622,0,4.26421917462995,2.56794824263147,1.51463265681696,2.60491756940001,0,2.14211415101102,0,0,0,0,1.23938764422972,1.90278287601717,0,3.47707381454944,1.84490712203948,1.74900848695859,4.16176118792935,5.23279666271419,1.74995794303065,0,0,1.80856573257561,1.59325686033421,1.84318761132168,1.73615446969187,3.14427330877779,0,0,0,0,1.34701904227105,1.71839087347455,3.26297573629945,0,1.9205595964423,0,2.22024045258572,1.28965123601375,1.73665568335649,0,1.64978957202375,2.22440333192962,1.88556888936003,2.61230686881745,2.41941025666089,2.04349356783739,1.35777021961316
"2001-10-01",2.20055569255376,0,1.2990923978576,2.03853902777153,2.03897762902812,0,0,2.00136658319262,0,4.20728836118688,2.51920923692986,4.11687726901385,0,1.76959491685197,0,0,1.90982518818849,0,0,3.73700560952312,2.06986112257781,0,0,1.98387890692187,2.01163120390937,1.61286747755748,0,2.30126285796784,1.50668860615148,0,0,2.31462795491775,0,0,0,0,1.45763071664758,1.65503896400188,2.01908636037271,2.08693572827868,2.03196560281823,3.55037281360236,0,4.24459862412229,1.43347853731615,0,3.27801138826938,2.13753655400448,3.28074005721095,3.95025067417817,0,5.05849278413673,0,6.06012564398535,3.51081056947897,1.69468830314538,3.381294241592,0,2.10379357109845,0,0,0,0,1.27910084053263,2.84436865262867,0,5.52515127251513,1.78919616269499,1.68539057550918,5.67690114183852,6.61053867419622,1.54796382280944,0,0,2.45993072975855,1.50234621809961,1.55705322204736,1.78336378051329,3.44342303424419,0,0,0,0,1.32799457670226,1.69142107136258,2.4728049039469,0,2.4101253241125,0,2.26863709778207,1.42455193375298,1.54913605306651,0,1.50833099325479,2.53848010912072,2.04804421900307,3.19242758636878,2.34233268113778,1.9742366686586,1.38582886385997
"2001-11-01",1.53177524040691,0,1.41811280486218,3.84504192612963,3.0133338148397,0,0,1.65572042673862,0,4.44180357425411,2.78072285960281,3.17720594521655,0,1.85295325471925,0,0,1.68307092301876,0,0,4.45393574931753,1.94966330948786,0,0,1.70587259610118,1.84570683678581,1.73717173081674,0,2.31927146005649,1.46785774885824,0,0,1.5913910962214,0,0,0,0,1.4447793391355,1.33458601052654,2.23973956316023,2.08028005388676,1.63443053804908,3.82069988470078,0,2.55005187960155,1.69959482874728,0,4.89290620781413,3.67999077184029,2.87369737198362,2.16806360938827,0,3.71045128263452,0,4.91250680099991,2.4810281189487,1.56691890184047,2.19661334968824,0,2.30544418259007,0,0,0,0,1.29278787575627,2.25274196328869,0,4.6730553767928,1.80197431519862,1.54897590383989,2.69262932993312,2.42192986595817,1.73747661822406,0,0,4.10699585724285,1.50664400124624,1.48605243797847,2.22596569598694,1.79544629276818,0,0,0,0,1.27625675810549,1.5976591475758,2.87091954506113,0,1.97833842769885,0,2.61338109451132,1.26831696603986,4.07091285095178,0,1.56021707597933,1.47036908100908,2.02962392272016,2.84475777580946,1.73305094546865,1.50841116038758,1.52793324996333
"2001-12-01",1.48247308452916,0,1.6143029944127,3.41227818700441,2.54270031044775,0,0,1.77714804723802,0,3.89715798336767,2.92170442020828,2.88673609583269,0,1.44862463115617,0,0,1.71846854620763,0,0,4.71164422584618,2.07404747670878,0,0,1.60941787957598,2.14342292699447,1.75682464781102,0,1.99813784410757,2.09221368735921,0,0,1.69411294034781,0,0,0,0,1.46236631024693,1.34160444184848,2.61767157295779,2.42990457141314,1.98328098935513,3.7322391111634,0,3.06631888462213,2.08613344941246,0,4.01590258182479,3.93095673328857,2.81588676734146,2.40741995611487,0,3.30927821106101,0,5.00308411018753,2.17077385387866,1.37384236035856,2.57768694046706,0,1.66202005973911,0,0,0,0,1.64942836144925,2.11622658283059,0,3.95055199472911,1.40415133412504,1.34441712604901,2.89132420638586,2.66023685296343,1.85289447772822,0,0,4.40207592432428,1.65995240816861,1.41566913185936,2.20952069458938,1.66708742987908,0,0,0,0,1.47899013670857,1.52071749116894,3.15858802285974,0,2.14964941126655,0,2.87910591498101,1.31178374325763,2.355921789739,0,1.58624538549603,1.48619609027606,2.01767046556788,3.07615350613924,1.72091980897937,1.93203300041464,1.89219623100642
"2002-01-01",1.66850438766333,0,1.59701167189546,3.36276354410303,2.10026450721054,0,0,1.84577661252494,0,2.64878647708603,2.70384901534001,2.47934165772249,0,1.43959561438226,0,0,1.91448123489741,0,0,4.64469428868375,2.21543486229519,0,0,1.61046566272486,1.78203028001888,1.72507526632595,0,1.93546213754085,1.95775797866858,0,0,1.54401764413465,0,0,0,0,1.68783466844444,1.61252475684109,2.35269269558244,2.98608469508432,1.89080911259296,2.99641874083669,0,3.39273406922341,2.07731567581217,0,3.42160747496564,3.67456647059635,3.48863157504096,1.89686287915882,0,3.31259035426264,0,4.27748933756567,2.1070500672067,1.48300543898077,2.59746297626262,0,1.89259594528334,0,0,0,0,1.68858297014491,2.05271415968675,0,3.42525155259423,1.31775742934287,1.36522391080738,2.75797301297795,2.8055162774032,1.87880335294042,0,0,4.10632060725956,1.50837937479237,1.3019257104207,2.29444987174903,1.46098468138904,0,0,0,0,1.64166317288963,1.54870096183004,2.93033991723752,0,2.37140227604053,0,3.05349568226585,1.87895533633079,2.40991327370768,0,1.47683622927077,1.49896382792252,2.0544746653632,3.61443894311877,1.66826657807752,1.81983177052286,1.99946992892785
"2002-02-01",1.60518891354637,0,1.59440480322445,3.75684749340099,1.87183990778112,0,0,1.83465682057377,0,2.57434252112262,2.42161452599723,2.40713734220197,0,1.34032831582213,0,0,1.62045609510068,0,0,4.98531843090222,2.519261169993,0,0,1.73008764453575,1.89942487431049,1.74932362802658,0,1.95422681749759,1.69029031104584,0,0,1.73279104522143,0,0,0,0,1.5869756054109,1.60108437382311,2.22941511541787,2.61156266536996,1.66752921150431,3.73338113434223,0,2.9057107638111,1.89061655628162,0,3.03287647303154,3.93712949663664,3.55247511008972,2.032790062956,0,3.5422818023404,0,4.43586184275139,2.17713044622716,1.50935209390354,3.26946801240654,0,1.80303130268164,0,0,0,0,1.64938448351998,2.1332464271609,0,3.92525165977662,1.35563135652403,1.33277360281088,2.65699586300383,2.2967163163066,1.8566591528412,0,0,4.73276377398464,1.40876312496425,1.42238510712987,1.95834581386844,1.55457521621875,0,0,0,0,1.40657417372757,1.50223785145041,3.18883004195435,0,2.32240838412185,0,3.17555590687046,1.86951634621408,2.20726574579886,0,1.44627340208662,1.59228672691873,1.634305989736,3.47021648674808,1.70273605673074,1.73901276898731,1.95780420746375
"2002-03-01",1.80708298938244,0,1.6533821350244,3.2180877746373,1.97769728933807,0,0,1.86036966349007,0,2.34512311541523,2.13073285819789,2.24482277829508,0,1.55948631574335,0,0,1.62193294297078,0,0,4.16755456396243,2.49061475703459,0,0,1.88852812840108,1.69307926614527,1.72731907149377,0,1.54369612134163,1.80641822112105,0,0,1.70374906008456,0,0,0,0,1.60883165430726,1.70097338578936,2.61493418880929,2.19878621493111,1.68383637204229,3.1606476038591,0,2.6647168968972,1.5559498449987,0,2.88362934326883,3.19194245336291,2.7600680043352,1.86311564004169,0,3.51427750184937,0,4.22122952238841,2.02075883802009,1.52950653300703,2.94583398072238,0,1.62788995435283,0,0,0,0,1.71191535769291,2.1386206803011,0,3.2574894494852,1.38474174776123,1.35537574451409,2.56440524853065,2.58252538145112,1.74927239024013,0,0,3.75558065151039,1.46257529425743,1.50417837211913,2.23484840494675,1.54332828480298,0,0,0,0,1.6542983152907,1.49744091448367,2.97141938435595,0,2.55763719620198,0,2.9358825415164,2.27212604210456,2.16868467316657,0,1.51181660081924,1.72493732149605,1.59674137751774,3.00031696473759,1.72792393139302,1.82921974289472,2.26498609505423
"2002-04-01",1.96085798249874,0,1.87166895966441,2.25139702429598,1.65637505484295,0,0,1.65956759434114,0,1.90611524445702,1.80268671944798,2.03286736623236,0,1.53740697385388,0,0,2.13172154911078,0,0,2.62908525357789,2.19064587694545,0,0,1.69654091354269,1.99848026949671,1.66299597703792,0,1.8131843669325,1.73993109880127,0,0,1.96599677300129,0,0,0,0,1.37879404141616,1.75042826497899,2.08653966941337,1.99658373426409,1.6096650848505,2.17366129050926,0,2.59004595534749,1.48546050684303,0,2.14941894980859,2.02855603880415,1.86306162279621,1.59943577609766,0,3.14537204099282,0,3.01255035194685,1.74156750574363,1.58709323094377,2.30702574783816,0,1.4857275519176,0,0,0,0,1.84832925135326,1.53652687202887,0,2.27228235266167,1.66625914328721,1.64871474952151,2.18709915254885,2.75312614216369,1.66803330782961,0,0,2.35761696570692,1.65010647037117,1.92007824940426,1.93709010929593,1.86764327400284,0,0,0,0,1.71846393321763,2.50797551635667,2.1633195750405,0,3.41058108845665,0,1.57091059347939,2.42033979663402,1.65741866424475,0,1.91486858161441,2.13295702899644,1.47286188126317,1.77257586090375,1.72526455524895,1.87930823793732,1.72829191414877
