"Date","ABT","AEP","AES","AIG","ALL","AMGN","ARNC","ATI","AVP","AXP","BA","BAC","BAC2","BAX","BDK","BHI","BMY","BRK3","BUD.2","C","CAT","CBS","CI","CL","CMCSA","CPB","CSC","CSCO","CVX","CZR","DD","DIS","DOW","DVMT","EMC","EP","ETR","EXC","F","FDX","GD","GE","GM","GS","HAL","HCA","HD","HIG","HON","HPQ","HSH","IBM","IHRT","INTC","IP","JNJ","JPM","KHC","KO","KODK","LB","LEHMQ","LU","MCD","MDT","MEDI","MMM","MO","MRK","MS","MSFT","NSC","NSM.2","OMX","ORCL","PEP","PFE","PG","ROK","RSHCQ","RTN","S","SLB","SO","T","TGT","TWX","TXN","TYC","UIS","UPS","USB","UTX","VZ","WFC","WMB","WMT","WY","XOM","XRX"
"2001-07-01",1.59729393888043,0,1.33051279424784,2.04076361283785,1.4732828228559,0,0,2.55508199054365,0,2.45543875640582,2.65017513317821,1.76543458679199,0,1.58608003217314,0,0,1.79733360161732,0,0,2.36077580945948,2.95741477653877,0,0,1.6251402582716,2.22801902782059,1.29808100934089,0,2.63495862601378,1.45693750149948,0,0,2.40125575993307,0,0,0,0,1.39387025753297,1.32650055472783,1.9363192846556,2.17833495954876,1.67556084686611,2.75412864789498,0,2.2912740568539,1.59900388369948,0,1.6242899210496,1.76313469276991,2.89681407816844,2.44839837423641,0,2.69648149975854,0,2.09954662968902,2.21275690535487,1.59884341025154,3.42806801488773,0,1.61472917091369,0,0,0,0,1.76456102285612,2.28580285743241,0,1.80576556572531,1.78866998727327,1.5055776993492,2.41947441223016,2.76238289287154,1.51115898158499,0,0,2.19617392890144,1.71471164107374,2.06822824093105,1.48672235859357,1.97724147173504,0,0,0,0,1.92382611743224,1.81365553855946,1.58509284113228,0,1.8731094385489,0,2.17400437373314,1.64014258345093,2.01098818795569,0,2.04194966905919,2.2426079283948,1.96158006265435,2.17437196193568,2.20440680121145,1.78446888865371,1.55628935145239
"2001-08-01",1.53094744414332,0,1.49722385326813,2.18816924991717,1.55009687413118,0,0,2.41623299651455,0,2.32832827819156,2.89965781391094,1.62913029293263,0,1.51558643645807,0,0,1.73541771298377,0,0,2.28027031549678,2.31004418299031,0,0,1.40066940800042,2.17820298908415,1.27712902616786,0,2.34925287397289,1.40678531952046,0,0,2.97960689665,0,0,0,0,1.47752440522346,1.37441885577758,1.7901331186818,2.38198837187437,2.09544241130285,3.29357630201634,0,2.19983086132765,1.44131481523494,0,1.6815215625638,2.00452336353814,2.24682453364408,2.32383398202978,0,2.593854100724,0,2.08948012076143,2.20408232294054,1.50090343198553,3.0549165701156,0,1.78975817932237,0,0,0,0,1.79143758465474,2.26416310945959,0,1.75511802070493,1.78676711301033,1.40368988371697,2.46058513542685,2.96197509910055,1.66235981721459,0,0,1.97365682863971,1.77283958905254,1.58042119159932,1.53213588617409,1.8846870362409,0,0,0,0,1.98890449999151,1.55130074437753,1.4202704225659,0,1.72827010388675,0,2.07944568236553,1.51803054239191,2.1324221582531,0,1.82408618350027,2.16353510015329,2.08145436982435,2.1199244447643,2.23255972707202,1.93311849859029,1.58350154732677
"2001-09-01",1.73823926148395,0,1.64893270105681,2.9787297206326,1.38465207844355,0,0,2.2784482967403,0,2.54562722886268,2.97964367036642,1.83459294305488,0,1.60646848183071,0,0,1.97791192317273,0,0,2.68703385506118,2.55116307394418,0,0,1.67435144295771,2.18320465206802,1.36375661222327,0,2.73122693395878,1.48162984846459,0,0,3.14049226801346,0,0,0,0,1.35515688750459,1.605795123679,1.9914754906272,2.37425370053722,2.31740243587733,3.93835017933098,0,2.05058718414724,1.52459445600906,0,1.75208095757022,2.17636146214304,2.54124757663667,2.30861915258647,0,2.96407286355606,0,2.21228075825615,2.36695517360637,1.56498178567939,3.03485691282079,0,1.95570155683166,0,0,0,0,1.92122202732525,2.64263392545422,0,1.80018793822433,1.90120794819686,1.49995214730791,2.54755649517218,2.97982272979483,1.91141509791106,0,0,2.30028610546901,1.83877829816124,1.62413829079709,1.62543552593897,1.93260555575004,0,0,0,0,2.16001648368585,1.44170054895848,1.45683732675192,0,1.83778616507127,0,2.12477397270149,1.5291573685745,2.25572177157019,0,1.91760917757519,2.25229546964125,2.04034722516658,2.82708658243822,2.66807894880667,1.95114153467529,1.79268969427687
"2001-10-01",1.6622872857122,0,1.6425602466977,2.12135073271861,1.32617593871193,0,0,2.05445808076579,0,2.03309300091624,1.85219068089418,1.91083842771938,0,1.7523914205633,0,0,1.74139434479683,0,0,2.71269001642905,2.44221318394087,0,0,1.53351211792234,2.18077927067363,1.46079686968178,0,2.97810169104931,1.49040656306831,0,0,1.9566061301948,0,0,0,0,1.64355154782831,1.79884693781274,1.80412570219304,2.23265465794916,2.22929408107883,2.66102274370843,0,1.75520199129118,1.71886827257294,0,1.68054132670234,2.11197274964618,1.9662057528586,2.43478470152545,0,2.54516459088639,0,2.14985853206901,1.88092669257714,1.52100647806696,2.10224912532391,0,1.85702328220096,0,0,0,0,1.80372340791563,1.76951720123326,0,1.67752861174805,1.54089296482109,1.35836588525966,2.11500359094436,2.12225136246238,1.64515810478396,0,0,3.68264761499785,1.71971320683408,1.69091430174096,1.6086922730553,1.95208338240469,0,0,0,0,2.60529036892473,1.41750661524052,1.67962900734104,0,2.34647407164296,0,2.04387978836521,1.71486242231478,1.56812207055574,0,1.58167513409706,1.49849356259971,2.28268735377806,2.26753277418064,1.78965792295154,1.68379106759462,1.70578266613347
"2001-11-01",2.23159900795454,0,1.41904549899959,2.6558193040937,1.35120370678942,0,0,2.6687379748918,0,6.56169293380068,5.91461643430707,3.61276987782098,0,1.78862799911753,0,0,2.13021502014077,0,0,11.3398876580858,2.38772199379187,0,0,1.93806218398359,1.59816287394963,1.7452157775437,0,1.95816799776987,1.62635062121656,0,0,6.57349320853834,0,0,0,0,1.42457502684771,1.73262600504244,4.44992663212784,1.68606398525152,2.76869041029429,6.21781307178929,0,2.41835062852655,1.83083031686951,0,8.4331029664608,2.72952251892081,4.32839446235462,2.8731994465378,0,2.04993251949903,0,5.11515281700861,3.92661254600367,2.00702591345853,2.47935880472697,0,1.90383638855781,0,0,0,0,1.92519972559376,1.78814260854756,0,4.78376190616939,1.36755515625899,1.55459493304754,4.81301249882116,4.85922281982618,2.72949176739224,0,0,2.52837185969545,1.86557877349904,1.59027370593128,1.79519191700024,2.55674789049703,0,0,0,0,1.52648074738003,1.65573825147018,2.60799099260081,0,2.20613217389767,0,1.81604164957787,2.09083006455792,1.76696900991033,0,1.66731381693337,1.59648572959932,1.56753040263813,2.77555950609982,2.05327864462045,2.092677679072,1.36730320321288
"2001-12-01",1.72420389790496,0,1.51307276662712,2.36485459761916,1.32739759586183,0,0,2.66828270123856,0,5.95967573127989,4.89779707335113,2.74291875434851,0,1.41750192608286,0,0,1.90235446130749,0,0,9.45316617661274,2.27724267695668,0,0,1.74950420646725,1.86774624150298,1.52427184196901,0,1.92726978406723,1.438471576012,0,0,5.68555467587337,0,0,0,0,1.32426293590177,1.59725995659098,6.21400463494263,1.76310288240342,2.11858005714883,6.84898944853239,0,2.50710582741744,1.65736150844406,0,4.75700883007391,2.55145466803986,3.19421503739985,3.12272488321091,0,2.34592825235103,0,7.15380463003763,6.14760860254015,1.80557360687806,2.60447424170658,0,1.73594569334073,0,0,0,0,1.91997665828036,1.97024999630035,0,3.56767008626089,1.524773992289,1.29375378325402,5.33198859017273,3.77127858062911,3.09426945364223,0,0,2.33582507260226,1.77801851886707,1.51277845331874,1.67250685106928,2.51992283636129,0,0,0,0,1.50210542959815,1.4462626559322,2.29427373454063,0,2.14991985400157,0,1.6868424385127,1.99843375667519,1.73383224372515,0,1.52583143035042,1.71563512431385,1.60424366952451,3.1599528749142,2.24389728058824,1.95663307634904,1.32663850028766
"2002-01-01",2.42406657182867,0,1.4830065222714,2.14808596178162,1.31221435295026,0,0,2.87815484032088,0,6.036338797983,4.87418289188667,2.72253916709461,0,1.61463467065689,0,0,2.22291301576896,0,0,4.90911178874872,4.0200762018027,0,0,1.99919711753223,1.92010173158351,1.73920642272103,0,1.9885579672525,1.48288094246382,0,0,5.7072840265712,0,0,0,0,1.28455468218755,1.60884840161902,6.79018991377055,1.99605566024095,1.99872993044572,8.89409557541938,0,3.9832657232467,1.74805579854539,0,6.08553231261155,2.51149782418908,4.18906472275797,2.02645892809275,0,2.48215028006014,0,4.14240497613992,6.60645664367322,2.05638406986659,3.03617047609694,0,1.86360736259402,0,0,0,0,2.00791348278747,2.33785623616268,0,3.46515810805868,1.62283752217148,1.58736104574168,5.52383375683635,3.74820025956444,2.98342544195223,0,0,2.25295740192688,2.01619940982805,1.4472198013996,1.94517611212006,2.77803709968581,0,0,0,0,1.58872368176884,1.6349409094557,2.620007610044,0,2.2714412808765,0,1.63237627057897,1.76817311617464,1.68832503262872,0,1.65106163842222,1.8985805111864,1.65686135522076,3.96337726870701,2.26713112274332,1.86403614060898,1.45064508086629
"2002-02-01",2.28330476023655,0,1.51584337976393,2.49226264040961,1.40353376676191,0,0,3.14287582839695,0,7.11834721488918,4.96485629672909,2.89795906085178,0,1.64254590224234,0,0,2.44195224936652,0,0,6.72996280696542,4.82273765870079,0,0,2.04196521636062,1.77076371609128,1.73770318091928,0,2.01927206328754,1.38138894383621,0,0,7.64653711325448,0,0,0,0,1.3216671461364,1.53226477851815,5.45874674288919,1.86071900877769,1.97099695443028,5.87989818774181,0,8.58901477446059,1.50203726164065,0,4.74023835822533,3.0577309545706,4.05954370737913,2.02145111502451,0,2.70151967261247,0,4.17242314681118,8.80624520538756,1.97174438293699,3.25238237933816,0,1.95205257547085,0,0,0,0,2.06030381323517,2.60205904576965,0,4.41866625332386,1.75627895614344,1.46288030440536,8.14618723936673,7.23386261937372,3.16453957445705,0,0,2.31692174186393,2.09072234851369,1.77461090151837,1.89188749195254,2.93103855891836,0,0,0,0,1.43065071297018,1.72613954942167,2.7643276385872,0,2.30301289511645,0,1.85116929664423,2.2296344651299,1.7238914833286,0,1.66278543445327,1.98368190228202,1.51544963371892,4.10560623447044,2.21894048627176,1.80773373216975,1.51342844965662
"2002-03-01",1.98094066693201,0,1.47782139704271,2.30896414160663,1.46245089622105,0,0,3.4119172910017,0,4.56400817017309,4.87290745695123,2.84694290496368,0,1.53340114449866,0,0,1.99441635120934,0,0,4.68163302764854,4.5441653314779,0,0,2.19405406654501,1.71572485090101,1.873141400628,0,1.89657278780814,1.74809724444954,0,0,5.12212149202436,0,0,0,0,1.24571559126194,1.37999968515225,5.02131049526424,1.85219694316891,2.07759737888414,5.02077649928619,0,4.70051146883319,1.36490980374502,0,3.9569522192519,2.77774300084877,3.71219269235713,2.17233431793019,0,2.60549153090343,0,3.94075565106948,5.01207359697768,1.93185276406278,3.59241350803012,0,2.11700284528764,0,0,0,0,1.83091216675547,2.8830697922372,0,3.77996176130642,1.65051579244958,1.40039982914631,6.04862124027749,4.2879984837036,3.05516842871225,0,0,2.22714899640166,2.13982292180061,1.76829837477928,2.02215660408996,2.89936696955512,0,0,0,0,1.4322720406131,1.6536587738404,3.2449438868438,0,2.24625173625765,0,1.87179649248873,2.58735960870507,2.04625860403531,0,1.77831719461578,2.31711392675168,1.86011255541384,3.97206747411622,2.44722495223659,2.17351308897037,1.64840676568096
"2002-04-01",1.40942765539554,0,1.78870802335739,2.6425049508227,1.51978079875106,0,0,2.71062971080569,0,2.64006441554398,2.50525649533941,2.60930645937362,0,1.57039590871436,0,0,1.70229956652056,0,0,4.01342950785024,2.1743260257183,0,0,1.65987450646833,1.68600132705023,1.89928535826655,0,2.15642443817854,1.82423804761467,0,0,2.05279223123859,0,0,0,0,1.22274270266676,1.53538999134194,1.46794398364757,1.53329227416107,1.7134326371983,2.89167072069334,0,2.35131243475567,1.26486119005673,0,1.65713158196729,1.93493248352131,2.01316200617536,2.4120802368255,0,2.54534941176451,0,2.16834350510918,2.05252530385552,1.72872357662228,3.45345085491876,0,1.90835533373828,0,0,0,0,1.74066510365052,1.82425961526941,0,2.73417822642148,1.38728421851525,1.34839781997967,2.66319703125389,2.42851326988448,1.8889980752484,0,0,2.01921861055636,1.79807553681412,1.81493849751041,2.31459274063507,1.94389571143258,0,0,0,0,1.41301860003587,1.79241198453731,1.61963695135476,0,2.46966607162942,0,1.64421922592565,1.52702657256122,2.17486650596551,0,1.88029226959799,2.86049494743892,2.47653759613924,2.08437899404125,2.13557453802201,1.72242137504852,1.54699719207159
