"Date","A","ABT","AEP","AES","AIG","ALL","AMGN","ATI","AVP","AXP","BA","BAC","BAC2","BAX","BDK","BHI","BMY","BRK3","C","CAT","CI","CL","CMCSA","CPB","CSC","CSCO","CVX","CZR","DD","DIS","DOW","DVMT","Date.1","EL","EMC","ETR","EXC","F","FDX","GD","GE","GM","GS","HAL","HCA","HD","HIG","HON","HPQ","HSH","IBM","INTC","IP","JNJ","JPM","KHC","KO","KODK","LEHMQ","MCD","MDT","MEDI","MMM","MO","MRK","MS","MSFT","NSC","NSM.2","OMX","ORCL","PEP","PFE","PG","ROK","RSHCQ","RTN","S","SLB","SO","TGT","TWX","TXN","UIS","UPS","USB","UTX","VZ","WFC","WMB","WMT","WY","XOM","XRX"
"2001-07-01",1.6348899062345,1.80567570508205,1.59833456461098,1.64008262629099,1.63996003714244,1.74968696704634,2.33112067540527,1.9627745498672,1.59393278614565,4.21445904612,1.6781281017694,3.16433045779706,3.39152895890535,1.44131129954294,2.3176580363979,1.37860147632156,1.70522338395128,1.68920369956668,3.49377648709872,2.39735044144167,1.49641056988076,2.14668884634856,1.87776167229808,1.39489928362467,2.61014041555873,2.06600436207611,1.32945704965439,0,2.4860435735095,2.71223572712379,2.48654252051323,1.74968696704634,1.27774594051006,1.51121997953004,2.88906920376605,1.55003068062964,1.77621805297038,1.86599660839787,2.37766194479783,1.78498542924877,3.30620617054955,0,3.84635525415421,1.52203726266378,0,2.68280019477106,1.61074468464429,3.8260382410894,2.58368065712933,1.41812635752861,2.89101167664413,4.07790567750297,2.39918964479508,1.50811288044903,2.99643232956688,0,1.79968547446709,0,4.32122145852122,1.20468067017487,2.23855130929181,0,2.9909971792743,1.4779572702131,1.6774494880653,4.33725581081321,3.78325795222049,1.77319277651188,3.36586893231949,2.41745280698304,2.33191401726382,1.584145198296,2.08801578860561,1.55097348553312,2.41579304740822,2.13019082444356,1.59360717157912,0,1.74962980456222,1.24965519455636,3.19448157146454,3.52354520774667,2.31644961063126,1.99478450618182,1.92363358472506,2.24964313719781,0,1.90646782725164,2.4244985599482,1.65561933976077,2.4734338656274,2.11124988347319,1.49539799991879,1.2850238280928
"2001-08-01",1.78168577495306,2.26508210266867,1.56516334085805,1.60583499153663,1.60654880687429,1.88310261582036,3.01945541093909,2.06830425966647,1.71090462278233,3.81842816670425,2.01743464266526,3.03511016983394,3.04636410342658,1.57009185392859,2.34554712796195,1.36229729573949,1.94354451425202,2.15754903232187,2.98626782426595,2.88253684404875,1.69398747492981,2.26619159457006,1.73184403991901,1.40542302449666,2.39153855481201,1.79074895774147,1.4405392773693,0,2.68741752177894,2.36514415657435,2.60963506762705,1.88310261582036,1.27960512722561,1.46160522291012,2.83771333324887,1.55789933122157,1.76242759261012,1.79083919839537,1.79963877136956,1.84487247057119,3.17981984521875,0,3.51722313502511,1.50227487012316,0,2.70071824726975,1.86389665551129,3.25850215401122,2.78045349503409,1.40427890444667,3.19439531849428,3.55423949461951,2.64332380782042,1.60573604069173,3.14356227733094,0,1.88078008251751,0,3.73452105674813,1.23454695613325,2.15464798455022,1.78599530022812,3.52885317444361,1.43570550252504,1.79657456062929,3.71125495107395,4.57064158941095,1.59160539156866,2.46941909525617,2.87554760649321,1.74957006136449,1.64069235985382,2.30089797691054,1.72621818995174,2.88195696856357,2.04160131875823,1.79217488787224,0,2.0641004554704,1.18456694030161,3.13726114151218,3.72220288982655,2.01788970196443,2.2256807148897,1.52743406662749,2.03038174388743,0,1.70574324254674,2.46537702057521,1.76591826947597,2.52057455948833,2.47177067823822,1.61252951824449,1.30258842673471
"2001-09-01",1.79590074098512,2.16392741924229,1.63413325650737,1.50470880352235,1.76761787668615,1.94635815755815,2.54981506532843,1.84318650861384,1.70257586728739,3.51595611035503,2.13653214155452,2.7676401993615,2.97265041454325,1.46886403294142,2.23928226242689,1.41774577743084,1.7187638091782,2.06437814731139,2.77798649008327,2.32828541252429,1.84368950412795,2.10744119994225,1.77258726701376,1.35178399547951,2.41556587740253,1.7609427077919,1.4733603507879,0,2.64616393837066,2.42574213826365,2.74250824165021,1.94635815755815,1.11952185656125,1.5344253229696,2.4017398877054,1.56714684867325,1.59248131225713,1.78096353557568,1.90762686334214,1.63977583486929,3.18594180738657,0,3.5339254735166,1.52964429848904,0,2.6810791268867,1.92862105447892,2.98393295433545,2.85642152629812,1.35689587519821,2.98235953818791,3.58828731282585,2.36742112874182,1.49115661109015,2.84373455662959,0,1.83992294188457,0,3.70852506885091,1.31068303219276,1.97849116993277,1.68411156280188,3.31096089341893,1.50487982087205,1.61652103611249,4.05292159324131,3.96128927388153,1.87446914448771,2.46111522190904,2.49262427871149,1.67428180754345,1.48174254894483,2.10253406944749,1.81097892650827,2.51806334149146,2.04767993830843,1.73075106285528,0,1.89754521986536,1.23070720262826,2.85802314325503,3.58010209817436,2.08432621457494,2.37332958024467,1.5234915452655,1.81126688963791,0,1.51618098303438,2.24577892716695,1.9559668786576,2.43877562963256,2.30074454558905,1.66129749135746,1.27515902481117
"2001-10-01",1.59021427235324,2.40074410736607,1.43708444831214,1.31606438499726,2.04638825172721,2.05828939335727,2.65942373519637,2.22319350808678,1.58533935477433,5.0540076707434,2.67695085923134,3.80204923416882,5.57393968270225,1.37828745173191,2.66655537662399,1.45876853750794,1.54120628164934,1.76638865953721,4.08443293888953,2.6956663370061,1.84627124437088,2.12652509204391,2.05869323681745,1.42858570963961,2.40890681854974,2.12981912921491,1.5386714793466,0,2.96285358032376,2.64766616855437,2.96224704533342,2.05828939335727,1.08054032770817,1.54755698132663,3.46121135793664,1.3903242720624,1.58582635577286,1.8813142601751,1.91115422829712,1.86140734430698,4.63259775418036,0,5.11070280472713,1.47774170323552,0,4.68808466810192,1.96772631012007,2.81930029581777,4.05705208167935,1.49846261887527,6.36661333067901,6.65410764394274,3.25012026376729,1.72301484940231,4.24308158982875,0,1.73897324403679,0,8.89779209056339,1.28324713515776,2.73382497512735,1.61637619330649,5.78722162012097,1.32576901902249,1.48838960490979,5.7857880686198,5.88980856064758,1.72580561331794,3.08157035561663,3.34190965872883,2.187657981329,1.55731774231391,1.93785872849103,1.73251170621313,3.00551157382572,1.86203884171708,1.50689815957142,0,1.8252320593792,1.2237709327587,3.07922115500385,4.13848115887617,2.93188747278465,2.57022296368452,1.75276724680652,1.59831917963333,0,1.37303840323447,2.85382558843021,2.05926169825222,3.89853583507382,3.08070154717287,1.76326482424292,1.44315431087047
"2001-11-01",1.54406562318766,1.54463389182046,1.78533526359614,1.48678293658344,4.32542669865854,3.06756529520526,2.08011093570531,1.96898022993819,1.42215312133429,4.51875441745738,2.84467421136961,2.65871239822362,2.56348459830652,1.45031461683486,2.86201757763819,2.19680375195891,1.43323114254694,2.25838351595879,3.49873911271873,2.22879985423871,2.2102271080977,1.98866737413043,1.75012291724926,1.68638919317677,2.13086012083286,2.22399550681293,1.70628403760736,0,3.80130520102871,1.97219775115464,3.7998203167477,3.06756529520526,1.35251356611546,1.95687113797287,3.13660388554092,1.93309491998495,1.30336755960732,2.37450950496604,2.36790920997337,1.62217488543921,2.7700995411413,0,2.8432983027523,2.04381389207135,0,3.85148083613283,2.92213284222173,2.70830015738416,2.48495085662405,2.02109417255512,3.27610540992505,3.32503719721813,2.71445522611232,1.54097159884819,3.03507173618791,0,2.06494127509414,0,3.55231929524916,1.34238365319841,2.15666738525947,1.45222804526216,3.8102463047838,1.59060867228623,1.44656032820081,2.80242096989833,2.06389060245965,2.17342232685398,2.3534357348197,2.36466774199869,3.254076278251,1.63929005064433,1.70430564819874,1.95370231069142,1.84555029514817,2.03351010984719,1.53234853824208,0,1.83645873011105,1.36905422028638,2.44411593039629,3.08596166749248,1.9911039480699,3.21115054524057,1.94830159600885,2.87242818616293,0,1.60494511314821,1.5239450051362,2.34427338651274,2.73379937221358,3.13647814302849,1.67579098732833,2.16298686783181
"2001-12-01",1.41234892024958,1.58163636665145,1.5242017895861,1.68305033008526,4.16752678362751,2.64019148014432,1.64097136533305,2.11140000975348,1.74745613518106,3.8171924703427,3.50214523876984,2.63026920417753,2.90675319883134,1.37741713971202,3.00755113694699,2.29695545713584,1.61577779469205,2.31056878121995,4.23073472836691,2.09361980602056,1.97611157722004,1.62282184259228,1.91631227582738,1.76261354970877,1.92411665093071,2.1658879126386,2.05551036913553,0,3.85259558031838,2.06838368860578,3.85244306004174,2.64019148014432,1.33860059645152,2.26257263334146,4.04331524843478,1.72139807178544,1.37013850558519,2.61016730384091,2.80663729495938,1.81680115003725,3.62348681167026,0,2.83775077875781,2.54210954474941,0,3.88841276341275,3.42943978128735,2.76898075355736,2.48937001881329,1.8063514573225,3.57194291282323,4.24536054443219,2.1915578832204,1.34249166480444,2.64633665852099,0,1.61077875033934,0,3.24773443463762,2.00242912758251,2.07005980784076,1.50642563014074,3.53910472871415,1.34122777066166,1.35094763572428,3.14897098388582,2.47401947689843,2.17266878137124,2.35877312879833,2.24690699531187,3.48376121535537,1.72526913981592,1.4496299967817,1.89484562224757,1.60924925422915,2.54750530022727,1.74862438604847,0,2.1021534007173,1.70530782719923,3.3336824621404,2.41934178696204,2.250517715908,3.17488989512831,2.09168045391263,2.28843446180456,0,1.6167586913027,1.62543461838094,2.44021597937391,2.55030799558956,2.63532043359326,2.24640599283941,3.02463333077543
"2002-01-01",1.37744995256901,1.50224895654659,1.46294353906904,1.53772961062326,3.58736258385806,2.32078960015703,1.77038637603073,2.02771231413081,1.76339274086329,2.53085123877751,3.03774509084915,2.34934079783215,2.87398725560138,1.3253573577389,2.74974468724743,1.84958764773676,1.5592950911396,2.10726954600719,4.41858511531087,1.99452046163754,1.77809608241053,1.8036982603103,1.7482591652961,1.60647749982173,1.63314119114816,2.16274763907372,1.83588291168625,0,3.30934333233613,1.80859461608738,3.31539414645882,2.32078960015703,1.33547885857538,2.04735660772285,3.52667793386478,1.69486812511428,1.50720240459825,2.42696850246899,3.47258100067633,1.74803294166267,2.94330311989031,0,2.89097851872215,2.33118185785194,0,3.04916340208708,3.20600655410247,3.7072651132854,1.91222902637941,1.69476045746434,3.16870708211087,4.32929433755364,2.16418735042085,1.26869072890293,2.39395987750259,0,1.69351131645827,0,3.98921878832844,1.75494771622954,1.9941135255929,1.51512857812293,3.31513261501767,1.22754719477198,1.27369619165047,2.90559050830884,2.63837004594808,2.11184400464466,2.57207284492381,2.24245847524916,3.89319518279641,1.55121147131492,1.46942528624667,2.15987734787305,1.36368944773168,2.52419669498085,1.53136134240758,0,1.74062457409692,1.73971910925208,3.45423084339041,2.38883021672626,2.34216020332724,3.19181867510383,2.20891346175944,2.22549685409535,0,1.46226402614672,1.62745522266186,2.26522116155238,2.78363980524366,2.45576446573025,1.92374819030193,3.0743456117409
"2002-02-01",1.34820234574136,1.51351746796724,1.43063884058552,1.61383784326946,3.35886951530704,2.01700014557346,1.7033198701616,2.00821666977489,1.97015905630009,2.45921546672762,2.39392516948637,2.26965631959059,3.14450962503885,1.26164267243914,3.11695803575904,1.86071932826695,1.48294687332725,1.93894968683272,4.11515736753217,2.72144787299806,1.77247925281073,1.78438736401877,1.90581639438931,1.67650038726263,1.62335429174233,2.20781111903036,1.70625372503858,0,3.71144178636745,1.853253444874,3.14219121549521,2.01700014557346,1.38172191584846,1.88397409184269,3.5635717434874,1.6611220613794,1.56918023240218,2.1766478874807,2.89581829872866,1.77415791430474,3.09680769682465,0,3.13488613768116,1.95296042906648,0,2.79305035789587,3.00748617715992,4.23683924432682,2.07139436300439,1.83045282529843,3.77543986271948,4.73677829696418,2.46790171471315,1.39589478361704,2.61983538894426,0,1.74919888557352,0,3.81918102844132,1.63829669385023,1.94510742787908,1.63734878974449,3.52963515300397,1.23478399764199,1.35554618479255,2.85900623436961,2.61994702991801,2.00287155915324,2.68417581807235,2.43749696493318,4.3426834794143,1.39348317619559,1.53010932332384,1.96135356618707,1.52222363466226,2.59675738097339,1.57110764871215,0,1.79862779785576,1.62323260714245,3.6504770858051,2.39648287120303,2.69884338846027,2.80021749144329,2.35763606422354,2.14210353402483,0,1.41744377835466,1.77834072207936,1.83892064459421,2.7143538911641,2.63447247178073,1.75191860027416,2.46135853128352
"2002-03-01",1.34830376432021,1.73650338597991,1.49247122663579,1.60539406333025,3.24392321421572,2.28145051839491,1.64536635677701,1.85929753645791,1.83250826489361,2.32185884256824,2.17359668058717,2.13534490720564,2.91190651838365,1.514216684712,3.18380283814849,1.83811666274118,1.52933616770544,1.97115932828299,4.0684173909765,2.47848351680659,1.71493148828007,1.98375438993413,1.61719544740347,1.59431397954793,1.63019370238457,1.62312292410256,1.69365205578056,0,2.78889812449122,1.73045478909915,2.78890975722912,2.28145051839491,1.28809052695502,1.87059996040828,2.56440897649005,1.69510436963396,1.70176482313799,2.17280996817606,2.37320905249139,1.73806479774998,3.1509674743245,0,2.70746850961963,1.68602649101667,0,2.71142225640492,3.25783376333913,3.53121780870909,1.82756098736742,2.15068649029286,3.75574247921051,4.34970979808961,2.22241921501711,1.47494828946726,2.40261224015179,0,1.7108074906622,0,4.14665560104641,1.8412849923673,2.10390201390641,1.6533635788766,3.35879946504963,1.2681979989327,1.34808763649864,2.84750991670886,2.37925591237051,1.89152841735249,2.62045173389138,2.48252748611348,3.77317469531035,1.50986079971328,1.43836486976461,2.08652586102363,1.46787198005729,2.52453218451586,1.58121677653975,0,1.98910323197296,1.69811409382286,3.15405883783702,2.48849538821703,2.71028253206244,2.56942639526451,2.15003713729108,2.34369739510893,0,1.42973618596854,1.81758283143911,1.76344683107631,2.94412757193952,2.12100534763227,1.65403065575613,2.17771119783175
"2002-04-01",2.22189322972981,2.34911379755635,1.51883208723872,2.00106766895187,2.22737949710134,1.50082844511431,1.67391395228025,1.72476030180104,1.99376264720758,1.81884550999634,2.17075595566037,1.99572573918026,2.62001292375321,1.60247794500102,2.66619066524448,1.73366848061712,2.03781935689291,1.80272257561524,2.48887426858902,2.49425649990301,1.82770048929105,1.87424896031476,2.07970676750912,1.53737773617949,1.8785750503246,1.941397297605,1.72498037874124,0,2.17539601389743,1.9794928571632,2.17598555069084,1.50082844511431,1.28035081473283,1.71479803218691,2.03159145293616,1.38340150906823,1.7882699723524,1.84342449736744,1.91306972334817,1.73455022733563,1.99029695041997,0,2.90200954431891,1.61570974721786,0,2.14520929207916,2.31063099256578,1.97405348861492,1.53021391239031,1.75464574323838,3.22586346583119,3.39315464142887,2.09474846757941,1.73007109313818,2.16644493878156,0,1.50901666917873,0,2.43899574623689,2.07667901630644,1.49851530909187,1.73711968627341,2.45412057831067,1.60677742619954,1.61948340389064,2.70328213345785,2.76461417093327,1.74622892889569,2.7077769933943,2.5080284362075,2.79923596944918,1.7569366160643,2.09740033088453,2.04328667208149,1.88780437611257,2.5149258944235,1.48181554067547,0,2.09761020310004,1.79387003494873,2.64209143267841,1.9278006855623,3.4544300504927,1.37549976676457,1.92168639280808,1.72137190255784,0,1.86925098163904,2.03080946138134,1.54036853728664,1.67872631261128,1.78821968495157,1.80194541914313,1.70909724706814
